title,price,location,surface,rooms,baths,link,location_clean,city,district,price_capped,prix_m2,is_new,is_luxury,age_estime,type_bien,price_category,city_popularity,is_premium_city
Appartement à vendre 50 m² à Tanger,380000,"Appartements dans Tanger, Mghogha",50,2,1,https://www.avito.ma/fr/mghogha/appartements/Appartement_%C3%A0_vendre_50_m%C2%B2_%C3%A0_Tanger_53451108.htm,"Tanger, Mghogha",tangier,mghogha,380000,7600.0,False,False,15,appartement,high,38,False
Appartement à proximité de la gare routière,380000,"Appartements dans Tanger, Autre secteur",50,2,1,https://www.avito.ma/fr/autre_secteur/appartements/Vente_Appartement_%C3%A0_proximit%C3%A9_de_la_gare_routi%C3%A8re_53297845.htm,"Tanger, Autre secteur",tangier,autre secteur,380000,7600.0,False,False,15,appartement,high,38,False
Appart 78m A Mazola Proche CFC,1050000,"Appartements dans Casablanca, Oulfa",78,2,2,https://www.avito.ma/fr/oulfa/appartements/Appart_78m_A_Mazola_Proche_CFC_57742070.htm,"Casablanca, Oulfa",casablanca,oulfa,1050000,13461.538461538461,False,False,15,appartement,luxury,136,True
Appartement de standing à vendre à Marrakech,1500000,"Appartements dans Marrakech, Semlalia",89,2,2,https://www.avito.ma/fr/semlalia/appartements/Appartement_de_standing_%C3%A0_vendre_%C3%A0_Marrakech_57813976.htm,"Marrakech, Semlalia",marrakech,semlalia,1500000,16853.932584269663,False,False,15,appartement,luxury,58,True
Appartement 3 chambres ascenseur syndic sur le boulevard,1950000,"Appartements dans Tanger, Centre ville",150,3,2,https://www.avito.ma/fr/centre_ville/appartements/Appartement_3_chambres_ascenseur_syndic_sur_le_boulevard_57838530.htm,"Tanger, Centre ville",tangier,centre ville,1950000,13000.0,False,False,15,appartement,luxury,38,False
vendre un bel appartement,950000,"Appartements dans Casablanca, Belvédère",105,2,2,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/%C3%80_vendre_un_bel_appartement_56460277.htm,"Casablanca, Belvédère",casablanca,belvédère,950000,9047.619047619048,False,False,15,appartement,very_high,136,True
CMN-MA-1139 - Appartement à vendre à Val Fleurie,1800000,"Appartements dans Casablanca, Val Fleuri",129,2,2,https://www.avito.ma/fr/val_fleuri/appartements/CMN_MA_1139___Appartement_%C3%A0_vendre_%C3%A0_Val_Fleurie_57319442.htm,"Casablanca, Val Fleuri",casablanca,val fleuri,1800000,13953.488372093023,False,False,15,appartement,luxury,136,True
PROJET NEUF DE HAUT STANDING PRÈS DE LA PALMERAIE,960000,"Appartements dans Marrakech, Route de Casablanca",60,1,1,https://www.avito.ma/fr/route_de_casablanca/appartements/PROJET_NEUF_DE_HAUT_STANDING_PR%C3%88S_DE_LA_PALMERAIE_57507349.htm,"Marrakech, Route de Casablanca",marrakech,route de casablanca,960000,16000.0,True,True,5,appartement,very_high,58,True
28. Confort et Qualité Ain Sebaa,950000,"Appartements dans Casablanca, Ain Sebaa",78,2,2,https://www.avito.ma/fr/ain_sebaa/appartements/28__Confort_et_Qualit%C3%A9_Ain_Sebaa_57120970.htm,"Casablanca, Ain Sebaa",casablanca,ain sebaa,950000,12179.48717948718,False,False,15,appartement,very_high,136,True
Nouveaux appartement à vendre de 50 m² à Tanger,380000,"Appartements dans Tanger, Aouama Gharbia",50,2,1,https://www.avito.ma/fr/aouama_gharbia/appartements/Nouveaux_appartement_%C3%A0_vendre_de_50_m%C2%B2_%C3%A0_Tanger_53330018.htm,"Tanger, Aouama Gharbia",tangier,aouama gharbia,380000,7600.0,False,False,15,appartement,high,38,False
